category,sku,sex,item name,about,details,sizes,"price, $",colour,image_name,,,,
outwear,LV23014,men,Leather Stadium Jacket,A motorsport-inspired zip-up jacket in a unique color scheme. Light blue cowhide,100% cowhide Certification LWG Black brown Standard Fit, s|m|l|xl,23,black,Куртка Stadium из кожи 4.jpg , Куртка Stadium из кожи 2.jpg , Куртка Stadium из кожи 3.jpg , Куртка Stadium из кожи 4.jpg ,
outwear,LV23015,men,Sports jacket,"he striking jacket features a bold hybrid design, crafted from wool suiting for a sporty, contemporary style.",100% wool Grey colour checkered pattern Standard Fit, s|m|l|xl,24,gray,Sports jacket 1.jpg , Sports jacket 2.jpg , Sports jacket 3.jpg ,,
outwear,LV23016,men,Sports jacket,"Crafted from high-tech material, this regular-fit jacket is a bold take on a classic athletic style.",100% polyamide Bright blue color Standard Fit, s|m|l|xl,25,,,,,,
outwear,LV23017,men,Padded jacket with Monogram pattern,"A quilted take on the iconic Monogram pattern, this insulated jacket is crafted from high-tech fabric with a matte finish.",100% polyamide Black, s|m|l|xl,26,,,,,,
outwear,LV23018,men,Reversible Monogram windbreaker,This seasonal blue reversible windbreaker embodies the idea of ​​a dynamic lifestyle.,"100% polyamide Blue color Standard Fit

 ", s|m|l|xl,27,blue,Reversible Monogram windbreakers 1.jpg , Reversible Monogram windbreakers 1.jpg , Reversible Monogram windbreakers 1.jpg , Reversible Monogram windbreakers 1.jpg ,
outwear,LV23019,men,LV Multi-Tools Embroidered Jacket,"With a utilitarian aesthetic, the jacket is adorned with embroidered details in black and white, reflecting the key themes of the Spring-Summer 2023 collection.",100% organic cotton GOTS Certification Dark gray color Standard Fit, s|m|l|xl,28,gray,LV Multi-Tools Embroidered Jacket 1.jpg , LV Multi-Tools Embroidered Jacket 2.jpg , LV Multi-Tools Embroidered Jacket 3.jpg , LV Multi-Tools Embroidered Jacket 4.jpg ,
outwear,LV23020,men,Varsity Jacket,A varsity-style jacket crafted from cowhide with wool sleeves.,"100% cowhide Black color Standard Fit

 ", s|m|l|xl,29,black,Varsity Jacket 1.jpg , Varsity Jacket 2.jpg , Varsity Jacket 3.jpg , Varsity Jacket 4.jpg ,
outwear,LV23021,men,Boyhood Monogram Fringed Denim Jacket ,"This lavender denim jacket features bold, vintage-effect trim. ","100% cotton
Loose fit
", s|m|l|xl,30,pink,Boyhood Monogram Fringed Denim Jacket 1.jpg , Boyhood Monogram Fringed Denim Jacket 2.jpg , Boyhood Monogram Fringed Denim Jacket 3.jpg , Boyhood Monogram Fringed Denim Jacket 4.jpg ,
outwear,LV23022,men,Monogram Tailored Denim Jacket,The Monogram Star embossed denim jacket gets a vintage-inspired edge with handcrafted trim. ,"99% cotton, 1% elastodiene", s|m|l|xl,31,grey,Monogram Tailored Denim Jacket 1.jpg , Monogram Tailored Denim Jacket 2.jpg , Monogram Tailored Denim Jacket 3.jpg ,,
outwear,LV23023,men,Hybrid Hoodie Denim Jacket,  This hybrid blouson splices a washed denim hood and sleeves onto the compact cotton felpa,100% Cotton, s|m|l|xl,32,green,Hybrid Hoodie 1AAGP81                  Hybrid Hoodie 1AAGP82                  Hybrid Hoodie 1AAGP83                  Hybrid Hoodie 1AAGP84,,,,
pants,LV23031,men,Utility Carpenter Jeans,Indigo Carpenter jeans are utilitarian. ,Regular Fit Carpenter, s|m|l|xl,33,blue,Utility Carpenter Jeans.1 Utility Carpenter Jeans.2Utility Carpenter Jeans.3 Utility Carpenter Jeans.4,,,,
pants,LV23032,men,"Loose fit cargo trousers
",These trendy charcoal cotton cargo pants make for an eye-catching look for the weekend.,100% organic cotton, s|m|l|xl,34,gray,Loose fit cargo trousers 1.jpg , Loose fit cargo trousers 2.jpg , Loose fit cargo trousers 3.jpg , Loose fit cargo trousers 4.jpg ,
pants,LV23033,men,Wide-leg Carpenter jeans with fringes,Striking work-style jeans with bold details.,100% cotton, s|m|l|xl,35,pink,Wide-leg Carpenter jeans with fringes 1.jpg , Wide-leg Carpenter jeans with fringes 2.jpg , Wide-leg Carpenter jeans with fringes 3.jpg , Wide-leg Carpenter jeans with fringes 4.jpg ,
pants,LV23034,men,LV x YK Monogram Painted Dots Cargo Pants,The Louis Vuitton x Yayoi Kusama collection cargo pants feature a combination of Monogram jacquard and a dot print by acclaimed artist Yayoi Kusama. ,"71% recycled ECONYL® nylon, 29% cotton", s|m|l|xl,36,black,LV x YK Monogram Painted Dots Cargo Pants 1.jpg ,,,,
pants,LV23035,men,Joggers in high-tech fabric,"Crafted from high-tech fabric with a soft sheen effect, these joggers feature contrasting panel panels with a graphic monochrome LV Dove Houndstooth print. ","88% polyamide, 12% polyester", s|m|l|xl,37,black,Joggers in high-tech fabric 1 Joggers in high-tech fabric 2 Joggers in high-tech fabric 3,,,,
pants,LV23036,men,Monogram Tailored Jeans,The jeans feature a luxurious embossed Monogram pattern. ,"99% cotton, 1% elastodiene", s|m|l|xl,38,grey,Monogram Tailored Jeans 1.jpg , Monogram Tailored Jeans 2.jpg , Monogram Tailored Jeans 3.jpg ,,
pants,LV23037,men,Jeans Baggy,These trendy loose-fit jeans are trimmed with a contrasting Monogram jacquard pattern.,"100% cotton Black color Croy buggy
", s|m|l|xl,39,black,Jeans LV 1.jpg , Jeans LV 2.jpg , Jeans LV 3.jpg , Jeans LV 4.jpg ,
pants,LV23038,men,Vintage-effect wave-cut jeans,"A favorite of the Spring-Summer 2023 show, these trendy loose-fit jeans feature a distinctive wavy silhouette. ","100% cotton
Loose fit
", s|m|l|xl,40,blue,Vintage-effect wave-cut jeans 1.jpg , Vintage-effect wave-cut jeans 2.jpg , Vintage-effect wave-cut jeans 3.jpg , Vintage-effect wave-cut jeans 4.jpg ,
pants,LV23039,men,Monogram jeans,Classic casual jeans with Monogram Pointillism characteristic of the new collection. ,"Standard Fit Monogram Pointillism Pattern

Classic back pockets 
", s|m|l|xl,41,blue,Monogram jeans 1.jpg , Monogram jeans 2.jpg , Monogram jeans 3.jpg , Monogram jeans 4.jpg ,
t-shirt,LV23040,men,"""Monogram Gradient T-shirt
""","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit
", s|m|l|xl,42,black,Monogram Gradient LVSE T-shirt 1.jpg , Monogram Gradient LVSE T-shirt 2.jpg , Monogram Gradient LVSE T-shirt 3.jpg ,,
t-shirt,LV23041,men,"""Monogram Gradient T-shirt
""","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit", s|m|l|xl,43,blue,Monogram Gradient LVSE T-shirt Blue 1.jpg , Monogram Gradient LVSE T-shirt Blue 2.jpg , Monogram Gradient LVSE T-shirt Blue 3.jpg , Monogram Gradient LVSE T-shirt Blue 2.jpg ,
t-shirt,LV23042,men,"Monogram Gradient T-shirt
","Crafted from lightweight cotton jersey, this T-shirt features a bold interpretation of the iconic Monogram Gradient pattern in a contrasting white palette.","Standard Fit", s|m|l|xl,44,green,Monogram Gradient T-shirt Green 1.jpg , Monogram Gradient T-shirt Green 2.jpg , Monogram Gradient T-shirt Green 3.jpg , Monogram Gradient T-shirt Green 4.jpg ,
t-shirt,LV23043,men,"Monogram Sporty V-neck T-shirt
",An American football-inspired T-shirt crafted from lightweight piqué cotton with a Monogram jacquard pattern.,"55% cotton, 45% polyester", s|m|l|xl,45,black,Monogram Sporty V-neck T-shirt 1.jpg , Monogram Sporty V-neck T-shirt 2.jpg , Monogram Sporty V-neck T-shirt 3.jpg , Monogram Sporty V-neck T-shirt 4.jpg ,
t-shirt,LV23044,men,Organic cotton T-shirt,This stylish organic cotton T-shirt will add originality to your everyday look. ,Standard Fit, s|m|l|xl,46,white,Organic cotton T-shirt 1.jpg , Organic cotton T-shirt 2.jpg , Organic cotton T-shirt 3.jpg , Organic cotton T-shirt 4.jpg ,
t-shirt,LV23045,men,"LV Jazz Flyers T-shirt
","The graphic tee features a silk-screened LV Jazz Flyer print. The spectacular pattern is based on bright concert posters, complemented by symbols of the House.",, s|m|l|xl,47,white,LV Jazz Flyers T-shirt 1.jpg , LV Jazz Flyers T-shirt 2.jpg , LV Jazz Flyers T-shirt 3.jpg , LV Jazz Flyers T-shirt 4.jpg ,
t-shirt,LV23046,men,T-shirt with LV Spread embroidery,"The classic T-shirt is embroidered with contrasting miniature initials L and V, recreating the contours of the iconic large LV initials. ", 100% cotton Standart Fit, s|m|l|xl,48,black,T-shirt with LV Spread embroidery 1.jpg , T-shirt with LV Spread embroidery 2.jpg , T-shirt with LV Spread embroidery 3.jpg , T-shirt with LV Spread embroidery 4.jpg ,
t-shirt,LV23047,men,T-shirt with LV Concert print,A soft black t-shirt with a relaxed shoulder line is decorated with a monochrome silkscreen print. ,100% cotton Standart Fit, s|m|l|xl,49,black,T-shirt with LV Concert print 1.jpg , T-shirt with LV Concert print 2.jpg , T-shirt with LV Concert print 3.jpg , T-shirt with LV Concert print 4.jpg ,
t-shirt,LV23048,men,"T-shirt with LV Pendant embroidery
",Embroidered initials LV in a unique interpretation this season is the main decoration of a stylish T-shirt. ,"Loose fit 100% cotton

", s|m|l|xl,50,white,T-shirt with LV Pendant embroidery 1.jpg , T-shirt with LV Pendant embroidery 2.jpg , T-shirt with LV Pendant embroidery 3.jpg , T-shirt with LV Pendant embroidery 4.jpg ,
t-shirt,LV23049,men,"T-shirt with print
","A classic T-shirt with a regular fit, made from lightweight cotton. "," ""Loose fit 100% cotton

""", s|m|l|xl,51,white,T-shirt with print 1.jpg , T-shirt with print 2.jpg , T-shirt with print 3.jpg , T-shirt with print 4.jpg ,
t-shirt,LV23050,men,"T-shirt with print and embroidery
","Introduced by Virgil Abloh, a simple cotton T-shirt is a tribute to the Maison of Louis Vuitton. ","100% cotton Standard Fit

", s|m|l|xl,52,white,T-shirt with print and embroidery 1.jpg , T-shirt with print and embroidery 2.jpg , T-shirt with print and embroidery 3.jpg , T-shirt with print and embroidery 4.jpg ,
t-shirt,LV23051,men,"T-shirt with Rainbow print
",A loose-fitting T-shirt with a ribbed finish is a must-have for a carefree summer look. ,100% cotton, s|m|l|xl,53,white,T-shirt with Rainbow print 1.jpg , T-shirt with Rainbow print 2.jpg , T-shirt with Rainbow print 3.jpg , T-shirt with Rainbow print 4.jpg ,
t-shirt,LV23052,men,"LV x YK Psychedelic Flower Tee
","A collaboration between the Maison and Japanese artist Yayoi Kusama, this classic Louis Vuitton t-shirt is uniquely reimagined","100% cotton Standard Fit

", s|m|l|xl,54,white,LV x YK Psychedelic Flower Tee 1.jpg , LV x YK Psychedelic Flower Tee 2.jpg , LV x YK Psychedelic Flower Tee 3.jpg , LV x YK Psychedelic Flower Tee 4.jpg ,
t-shirt,LV23053,men,T-shirt with LV Frequency embroidery,"Both sides of the stylish black T-shirt are decorated with a contrasting LV Frequency pattern, which has become a symbol of the new collection. ",100% cotton Standart Fit, s|m|l|xl,55,black,T-shirt with LV Frequency embroidery 1.jpg , T-shirt with LV Frequency embroidery 2.jpg , T-shirt with LV Frequency embroidery 3.jpg , T-shirt with LV Frequency embroidery 4.jpg ,
t-shirt,LV23054,men,T-shirt with intarsia,"Inspired by the cinematography of the Fall/Winter 2023 runway collection, this soft cotton t-shirt features a white graphic with a Louis Vuitton Studios ","Standard Fit
", s|m|l|xl,56,black,T-shirt with intarsia 1.jpg , T-shirt with intarsia 2.jpg , T-shirt with intarsia 3.jpg , T-shirt with intarsia 4.jpg ,
t-shirt,LV23055,men,"T-shirt with beaded embroidery

",The black T-shirt continues the key theme of the Fall-Winter 2023 show. ,"Classic fit", s|m|l|xl,57,black,T-shirt with beaded embroidery 1.jpg , T-shirt with beaded embroidery 2.jpg , T-shirt with beaded embroidery 3.jpg , T-shirt with beaded embroidery 4.jpg ,
t-shirt,LV23056,men,"Vuitton Snow T-shirt in hi-tech jersey
","Crafted from breathable, high-tech jersey, this slim-fit t-shirt features a striking pattern of Vuitton signatures and Monogram colors. ","80% polyester, 20% elastane", s|m|l|xl,58,blue,Vuitton Snow T-shirt in hi-tech jersey 1.jpg , Vuitton Snow T-shirt in hi-tech jersey 2.jpg , Vuitton Snow T-shirt in hi-tech jersey 3.jpg , Vuitton Snow T-shirt in hi-tech jersey 2.jpg ,
t-shirt,LV23057,men,"T-shirt signed Louis Vuitton 1854
",A lightweight cotton T-shirt with a contrasting intarsia pattern made from high-tech neon-effect yarns. The date 1854 and the Louis Vuitton signature are the hallmarks of the Maison. ,"89% cotton, 11% polyamide
", s|m|l|xl,59,black,T-shirt signed Louis Vuitton 1854 1.jpg , T-shirt signed Louis Vuitton 1854 2.jpg , T-shirt signed Louis Vuitton 1854 3.jpg , T-shirt signed Louis Vuitton 1854 4.jpg ,
t-shirt,LV23058,men,T-shirt with embroidered signature 1,"A stylized Louis Vuitton signature embroidered with beads adorns the milky white T-shirt. 

","Standard Fit
", s|m|l|xl,60,white,T-shirt with embroidered signature 1 T-shirt with embroidered signature 2 T-shirt with embroidered signature 3 T-shirt with embroidered signature 4,,,,
t-shirt,LV23059,men,T-shirt with embossed LV initials,The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
", s|m|l|xl,61,blue,T-shirt with embossed LV initials blue 1 T-shirt with embossed LV initials blue 2 T-shirt with embossed LV initials blue 3 T-shirt with embossed LV initials blue 4,,,,
t-shirt,LV23060,men,T-shirt with embossed LV initials,The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
", s|m|l|xl,62,black,T-shirt with embossed LV initials white black 1 T-shirt with embossed LV initials white black 2 T-shirt with embossed LV initials white black 3 T-shirt with embossed LV initials white black 4,,,,
t-shirt,LV23061,men,"T-shirt with embossed LV initials
",The basic wardrobe item is presented in a new original interpretation. ,"""100% cotton Standard Fit
""", s|m|l|xl,63,white,T-shirt with embossed LV initials white 1 T-shirt with embossed LV initials white 2 T-shirt with embossed LV initials white 3 T-shirt with embossed LV initials white 4,,,,
t-shirt,LV23062,men,"T-shirt with embossed LV initials
",The basic wardrobe item is presented in a new original interpretation. ,"100% cotton Standard Fit
", s|m|l|xl,64,blue,T-shirt with embossed LV initials dark 1 T-shirt with embossed LV initials dark 2 T-shirt with embossed LV initials dark 3 T-shirt with embossed LV initials dark 4,,,,
knitwear,LV23063,,"Fair Isle Macro LV Pullover
",This luxurious pullover is made from sustainable merino wool. ,"100% wool

Standard Fit
", s|m|l|xl,65,multicolour,Fair Isle Macro LV Pullover 1 Fair Isle Macro LV Pullover 2 Fair Isle Macro LV Pullover 3 Fair Isle Macro LV Pullover 4,,,,
knitwear,LV23064,,"LV Jazz logo hoodie
",Stylish hoodie made of cotton fleece with a zip fastening and classic voluminous pockets. ,"100% cotton Classic fit

", s|m|l|xl,66,black,LV Jazz logo hoodie 1 LV Jazz logo hoodie 2 LV Jazz logo hoodie 3 LV Jazz logo hoodie 4,,,,
knitwear,LV23065,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
", s|m|l|xl,67,black,Louis Vuitton cuffed cashmere pullover b1 Louis Vuitton cuffed cashmere pullover b2 Louis Vuitton cuffed cashmere pullover b3 Louis Vuitton cuffed cashmere pullover b4,,,,
knitwear,LV23066,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
", s|m|l|xl,68,gray,Louis Vuitton cuffed cashmere pullover 1 Louis Vuitton cuffed cashmere pullover 2 Louis Vuitton cuffed cashmere pullover 3 Louis Vuitton cuffed cashmere pullover 4,,,,
knitwear,LV23067,,"Louis Vuitton cuffed cashmere pullover
",This classic round neck pullover is crafted from soft cashmere. ,"100% cashmere
Standard Fit
", s|m|l|xl,69,green,Louis Vuitton cuffed cashmere pullover g1 Louis Vuitton cuffed cashmere pullover g2 Louis Vuitton cuffed cashmere pullover g3 Louis Vuitton cuffed cashmere pullover g4,,,,
knitwear,LV23068,,"LV Fair Isle Stripes Track Jacket
",The trendy blazer features brightly colored sleeve panels in a shimmering LV Fair Isle Stripes jacquard pattern. ,, s|m|l|xl,70,,LV Fair Isle Stripes Track Jacket 1 LV Fair Isle Stripes Track Jacket 2 LV Fair Isle Stripes Track Jacket 3 LV Fair Isle Stripes Track Jacket 4,,,,
knitwear,LV23069,,"Zipped hoodie with embroidered LV initials
",A vibrant jacquard hoodie delights with a Tie & Dye gradient effect. Cotton drawstring hood lined with lightweight jersey.,"50% cotton, 50% polyamide Standard Fit

", s|m|l|xl,71,blue,Zipped hoodie with embroidered LV initials1 Zipped hoodie with embroidered LV initials2 Zipped hoodie with embroidered LV initials3 Zipped hoodie with embroidered LV initials4,,,,
knitwear,LV23070,,"Sweatshirt with LV Comics Owl logo

",Cozy organic cotton sweatshirt with exceptional softness.,"100% cotton Standard Fit

", s|m|l|xl,72,black,Sweatshirt with LV Comics Owl logo1 Sweatshirt with LV Comics Owl logo2 Sweatshirt with LV Comics Owl logo3 Sweatshirt with LV Comics Owl logo4,,,,
knitwear,LV23071,,"LV x YK Psychedelic Flower Pattern Zip Hoodie
","Exclusive to Louis Vuitton x Yayoi Kusama, this zip-up hoodie features the signature Psychedelic Flower pattern. ","95% wool, 5% polyamide Standard Fit

", s|m|l|xl,73,black,LV x YK Psychedelic Flower Pattern Zip Hoodie1 LV x YK Psychedelic Flower Pattern Zip Hoodie2 LV x YK Psychedelic Flower Pattern Zip Hoodie3 LV x YK Psychedelic Flower Pattern Zip Hoodie4,,,,
knitwear,LV23072,,"Monogram Gradient Textured Sweatshirt
",A classic cotton fleece sweatshirt is accented with a textured Monogram pattern with a gradient effect. ,"100% cotton Classic fit

", s|m|l|xl,74,black,Снимок.jpg ,Monogram Gradient Textured Sweatshirt 1 Снимок.jpg ,Monogram Gradient Textured Sweatshirt 2 Снимок.jpg ,Monogram Gradient Textured Sweatshirt 3 Снимок.jpg ,Monogram Gradient Textured Sweatshirt 4
knitwear,LV23073,,Hybrid Cotton Cardigan,This sporty cardigan from this collection’s desert bike race can be worn as light outer layer,"82% Cotton, 18% Polyamide",s|m|l|xl,75,black,Cardigan1ABJ1G1                       Cardigan1ABJ1G2                       Cardigan1ABJ1G3                       Cardigan1ABJ1G4,,,,
footwear,LV23074,,LV Skate sneakers ,First seen at the Fall Winter 2022 show,Grained Calfskin,,76,Blue,LV Skate 1ABZ6X1                      LV Skate 1ABZ6X2                      LV Skate 1ABZ6X3                      LV Skate 1ABZ6X4                      LV Skate 1ABZ6X5,,,,
footwear,LV23075,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,,77,"
red",LV Skate 1ABZ6E1                      LV Skate 1ABZ6E2                      LV Skate 1ABZ6E3                      LV Skate 1ABZ6E4                      LV Skate 1ABZ6E5,,,,
footwear,LV23076,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,,78,White,LV Skate 1ABZ5U1                      LV Skate 1ABZ5U2                      LV Skate 1ABZ5U3                      LV Skate 1ABZ5U4                      LV Skate 1ABZ5U5,,,,
footwear,LV23077,,LV Skate sneakers,First seen at the Fall Winter 2022 show,Grained Calfskin,,79,Black,LV Skate 1ABZ581                      LV Skate 1ABZ582                      LV Skate 1ABZ583                      LV Skate 1ABZ584                      LV Skate 1ABZ585,,,,
footwear,LV23078,,LV Trainer sneakers,The new version of the LV Trainer features a combination of smooth and grained calfskin.,Grained Calfskin,,80,White,LV Trainer 1A8WAX1                      LV Trainer 1A8WAX2                     LV Trainer 1A8WAX3                     LV Trainer 1A8WAX4,,,,
footwear,LV23079,,LV Trainer sneakers,"For the new season, the iconic LV ",Grained Calfskin,,81,Black ,LV Trainer 1A9JG91                       LV Trainer 1A9JG92                      LV Trainer  1A9JG93                       LV Trainer  1A9JG94,,,,
footwear,LV23080,,LV Trainer sneakers,"In supple leather, the LV Trainer sneaker is featured in the Rainbow ",Grained Calfskin,,82,White,LV Trainer 1A9G511                       LV Trainer 1A9G512                       LV Trainer 1A9G513                       LV Trainer 1A9G514,,,,
footwear,LV23081,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,,83,blue,LV Trainer 1ABFA81                       LV Trainer 1ABFA82                       LV Trainer 1ABFA83                       LV Trainer 1ABFA84,,,,
footwear,LV23082,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,,84,Green,LV Trainer 1ABFAS1                       LV Trainer 1ABFAS2                       LV Trainer 1ABFAS3                       LV Trainer 1ABFAS4,,,,
footwear,LV23083,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,,85,Red,LV Trainer 1ABFBE1                       LV Trainer 1ABFBE2                       LV Trainer 1ABFBE3                       LV Trainer 1ABFBE4,,,,
footwear,LV23084,,LV Trainer sneakers,The two-tone grained calfskin LV Trainer,Grained Calfskin,,86,Blue,LV Trainer 1A9JGT1                       LV Trainer 1A9JGT2                       LV Trainer 1A9JGT3                       LV Trainer 1A9JGT4,,,,
footwear,LV23085,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfskin,,87,green,LV Trainer 1ABLVU1                       LV Trainer 1ABLVU2                       LV Trainer 1ABLVU3                       LV Trainer 1ABLVU4,,,,
footwear,LV23086,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfskin,,88,brown,LV Trainer 1ABLV81                        LV Trainer 1ABLV82                        LV Trainer 1ABLV83                       LV Trainer 1ABLV84,,,,
footwear,LV23087,,LV Trainer sneakers,The current version of the LV Trainer,Grained Calfnski,,89,Blue,LV Trainer 1ABLUO1                        LV Trainer 1ABLUO2                        LV Trainer 1ABLUO3                        LV Trainer 1ABLUO4,,,,
footwear,LV23088,,LV Skate sneakers ,The LV Skate sneakers are presented in a new exclusive version of grained leather,Grained Calfskin,,90,Grey,LV Skate 1ABZ4Q1                      LV Skate 1ABZ4Q2                      LV Skate 1ABZ4Q3                      LV Skate 1ABZ4Q4                      LV Skate 1ABZ4Q5,,,,
footwear,LV23089,,LV Skate sneakers ,The LV Skate sneakers are presented in a new exclusive version of grained leather,Grained Calfskin,,91,Anthracite,LV Skate 1ABZ461                      LV Skate 1ABZ462                      LV Skate 1ABZ463                      LV Skate 1ABZ464                      LV Skate 1ABZ465,,,,
footwear,LV23090,,LV Trainer Maxi,Showcased at the Men's Spring/Summer 2023 Fashion Show,Combination of materials,,92,Black,LV Trainer Maxi 1ABZQ91         LV Trainer Maxi 1ABZQ92         LV Trainer Maxi 1ABZQ93         LV Trainer Maxi 1ABZQ94,,,,
footwear,LV23091,,LV Trainer Maxi,"Showcased at the Men's Spring/Summer 2023 Fashion Show, ",Combination of materials,,93,blue,LV Trainer Maxi 1ABZPU1         LV Trainer Maxi 1ABZPU2         LV Trainer Maxi 1ABZPU3         LV Trainer Maxi41ABZPU4,,,,
footwear,LV23092,,LV Trainer Maxi,Showcased at the Spring Summer 2023 show,Combination of materials,,94,orange,LV Trainer Maxi 1AB8SX1         LV Trainer Maxi 1AB8SX2         LV Trainer Maxi 1AB8SX3         LV Trainer Maxi 1AB8SX4,,,,
footwear,LV23093,,LV Trainer Maxi,Showcased at the Spring Summer 2023 show,Combination of materials,,95,white,LV Trainer Maxi 1AB8RO1         LV Trainer Maxi 1AB8RO2         LV Trainer Maxi 1AB8RO3,,,,
footwear,LV23094,,LV Trainer sneakers ,The Monogram denim LV Trainer sneakers are a colorful take on vintage basketball shoes. ,Denim,,96,green,LV Trainer 1ABLY21                  LV Trainer 1ABLY22                  LV Trainer 1ABLY23                  LV Trainer 1ABLY24,,,,
